"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"s__graevenitzii",0.0177718051276037,-0.291440145072465,0.486759051583542,0.885121079371769,0.0365104769388219,-0.329265850587718,0.972059729634662,0.753144987415113,0.987520604856506,0.912099006775448,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Actinomycetota_c__Actinomycetes_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces_s__massiliensis",-0.374399455702709,0.6221030191574,0.302988862730354,0.725646208598435,-1.23568718773636,0.85730899133198,0.34202322352479,0.481605477700934,0.83414011074788,0.77832216520089,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__naeslundii",-0.295082493130786,0.230779890034448,0.372672828992811,0.613640551364994,-0.791800394808172,0.376083180163202,0.48630803485386,0.731875805317221,0.869358884225052,0.912099006775448,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Actinomycetota_c__Actinomycetes_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces_s__oris",-0.0730041464960892,-0.140789045974616,0.294404269123296,0.899768429951563,-0.247972445214492,-0.15647253369647,0.81636531871725,0.883240374409265,0.945859328826191,0.966564938032781,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__pacaensis",0.244072938724346,-0.74404241226595,0.594760795997551,0.87080569610095,0.41037159874497,-0.854429886709992,0.69578491643133,0.425661044009523,0.938500584953887,0.74065021657657,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. oral taxon 169",-0.135008500777274,-0.0360100972214061,0.368184274446181,0.509684790400015,-0.366687308903544,-0.0706517006190126,0.738188893952803,0.948121092705156,0.939759595363969,0.988714864012642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. oral taxon 171",-0.133488406669192,-0.0385435874015429,0.377718640646787,0.711193237866673,-0.353406986853,-0.0541956606859199,0.747159265963373,0.960186468874686,0.939800329717785,0.988714864012642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. oral taxon 414",-0.408917257281087,0.17272577384631,0.464542749449201,0.950979733547116,-0.880257538764584,0.181629290039704,0.419012068276524,0.863007277336883,0.847728361094181,0.955157876554669,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__odontolytica",-0.0413949215579275,-0.173106691701403,0.344289878270409,0.783096649794996,-0.120232757831514,-0.221054057307894,0.908223823702353,0.832380988847277,0.960579246473594,0.939633690009672,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. HMT-172",0.325372806622882,-0.90664214806302,0.638578906461217,1.14039408469474,0.509526392636401,-0.795025298912969,0.628575672434037,0.456886718576786,0.926382149195326,0.760024786068588,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. HMT-877",-0.671596940158678,0.463329637089736,0.113540413835971,0.68935371728518,-5.91504749250708,0.672121764882077,0.0274116504923084,0.570750227397212,0.310555482042284,0.825627437937619,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. GTC20041",0.608523392074927,-1.3875462492162,0.283380589878717,0.542501169985577,2.14737146371023,-2.5576834226055,0.0982710402253883,0.0627919527376351,0.569972033307252,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__adolescentis",-0.659230035281588,1.06256353574592,1.14733679830815,1.27561068065158,-0.574574123529969,0.832984194835345,0.586460551887506,0.436748930003529,0.912665610557538,0.744273124048652,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__angulatum",-0.546116363905093,0.412824210438321,0.263113311569621,0.764776358988159,-2.07559382171581,0.539797295753898,0.0925789015783881,0.612499833793219,0.549161211635439,0.85259976864016,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__bifidum",0.559783098256938,-1.37546273133113,1.30012738008883,1.89048735912154,0.430560194970044,-0.727570446157481,0.681824941882459,0.494276914293522,0.929274247355713,0.793884766957596,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__breve",-0.548289703700999,0.84068287258474,0.376265351057661,0.592126286605983,-1.45718892839797,1.41976955186952,0.195328006207848,0.205482759880952,0.753107006133896,0.600608110251856,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__catenulatum",-0.55034920552776,0.844801876238263,0.730803424869176,0.886970643418119,-0.753074201350767,0.952457539048474,0.479900261155582,0.377641621491958,0.867288946768914,0.711656774075098,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__dentium",0.371486394458523,-0.998869323734304,0.572010093350148,0.704085810019662,0.649440278724458,-1.41867554993959,0.540103689384679,0.205786823116281,0.878564323516428,0.600608110251856,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__longum",-0.441896690231193,0.627896845645128,0.455860591491268,0.907227208301382,-0.969368044703326,0.692105395318501,0.369798211546541,0.514748276415465,0.83928115837954,0.809333133400219,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__pseudocatenulatum",-0.767838157213999,1.27977977961074,0.676936000302286,1.46131573431957,-1.13428471357871,0.875772257531081,0.299950441246116,0.414834375492807,0.819734599260655,0.738012954611454,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__wiggsiae",-0.338446372913602,0.4120865107759,0.621049889913569,0.872735200709367,-0.544958429926947,0.472178170928539,0.609198996312516,0.656688800823945,0.924186072051609,0.876704741764959,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
