"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"s__eggerthii",2.29388431287465,-4.84366516056656,1.0984065770422,1.28413621854543,2.08837452435112,-3.77192473089271,0.08178192554461,0.00926775893270768,0.514339338967306,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Porphyromonadaceae bacterium",1.72223090040301,-4.3961604602962,1.75636257111173,1.84102305129889,0.980566842364946,-2.38788995998425,0.371838747905852,0.0625508427999801,0.840258988774263,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__multacida",-1.95622572856011,4.18690500728441,1.60350351327853,2.42485562080853,-1.21996971778403,1.7266615675404,0.276874332319,0.144813234274539,0.805289610345159,0.546758598285218,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Bacteroidota_c__Bacteroidia_o__Bacteroidales_f__Tannerellaceae_g__Parabacteroides_s__johnsonii",1.90324482366159,-4.06238618214045,0.861943529153608,0.991925374044379,2.20808528550646,-4.09545545304166,0.0693258396566543,0.00638993161415758,0.482507844010314,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__absconsus",1.84321879197186,-3.94233411876098,1.44714425432137,1.67035983342492,1.2736938881302,-2.36017056916267,0.249885835528356,0.0562709660296267,0.805289610345159,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. Marseille-QA0723",1.66588256421902,-3.92409747510328,0.155134522368038,0.463740977112093,10.7383098151868,-8.46183035094346,0.0085609733059619,0.013680053501227,0.279701824926163,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Bacteroidota_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_g__Alistipes_s__dispar",1.75577020073416,-3.76743693628557,0.54776603562012,1.35268343407453,3.20532871072678,-2.78515788793049,0.0184754839177728,0.0317799012895445,0.303096658027163,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__mitsuokai",2.12368528636122,-3.66028909064565,1.37615751342479,1.45628228198976,1.5431992818003,-2.51344752038354,0.197654520766942,0.0658148691342821,0.753107006133896,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__sp. i18-0019-D1",1.65840885678605,-3.57271424838935,1.34253755829358,1.43292895426847,1.2352793011571,-2.49329475669173,0.262899121377406,0.0469523388413267,0.805289610345159,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Bacteroidota_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__pyogenes",1.61821255968376,-3.49232165418478,0.532134466724041,0.72503328067771,3.04098430166702,-4.81677427403112,0.0227740563512352,0.00294976518129508,0.310555482042284,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
